product_id,category,coverage,fill,contrast,garment_pixels,name,note
MS6686260,top,1.7533,0.7804,42.0,1378890,플렉스 드라이 핏 긴소매 트레이닝 탑 M - 화이트:블랙 / IO1428-100,
MS6890028,top,1.8036,0.8422,230.5,1418448,스포츠웨어 플리스 풀오버 후디 M - 블랙:아이스 실버 / IQ5876-010,
MS1923315,bottom,1.8089,0.8422,106.0,1422585,린넨 라이크 퍼티그 밴딩 팬츠,
MS6945858,top,1.9071,0.7042,195.6,1499841,Glory 배색 롤업 반팔 티셔츠,
MS6948481,top,1.912,0.7478,202.0,1503620,[기획] 에센셜 CP 이중지 크롭 긴팔티_7color,
MS4121511,bottom,2.0026,0.8167,194.9,1574899,원턱 버뮤다 트랙 반바지 4Color GP-509,
MS6718920,top,2.0383,0.7789,155.4,1603013,스포츠웨어 빈티지 워시드 티셔츠 M - 케이브 스톤 / IR4529-289,
MS6957693,top,2.1405,0.8084,210.4,1683325,시어서커 하드 트위스트 체크 셔츠 블랙,
MS6932766,top,2.5087,0.7669,217.9,1972961,APAC 스포츠스타일 우븐 크루6014349-001,
MS7080040,bottom,2.7555,0.8525,209.3,2167052,3-스트라이프 플리티드 스커트 KG2204,
