product_id,photo_color,agreement,garment_ratio,reason
MS5086054,,0.795,0.0716,low_agreement
MS6407706,블랙,0.945,0.6112,garment_vote
MS5253069,,0.578,0.0662,low_agreement
MS1772548,블랙,0.930,0.7904,garment_vote
MS6706315,,0.740,0.0419,low_agreement
MS6754873,버건디,0.922,0.0873,garment_vote
MS5236473,,0.525,0.4698,low_agreement
MS7123017,,0.532,0.0675,low_agreement
MS7123038,,0.752,0.0628,low_agreement
MS7092467,버건디,0.945,0.0772,garment_vote
MS7092583,,0.407,0.0745,low_agreement
MS7089383,,0.455,0.1208,low_agreement
MS7089380,,0.585,0.1964,low_agreement
MS7091165,,0.557,0.0576,low_agreement
MS7091903,블랙,0.860,0.1012,garment_vote
MS7092540,,0.512,0.0462,low_agreement
MS7092588,,0.417,0.0726,low_agreement
MS7092575,,0.495,0.0718,low_agreement
MS4860451,화이트,0.905,0.2885,garment_vote
MS3730406,,0.412,0.2417,low_agreement
MS6261761,,0.655,0.3068,low_agreement
MS7130907,,0.445,0.3031,low_agreement
MS6095188,,0.715,0.5476,low_agreement
MS6931959,,0.703,0.2457,low_agreement
MS7117714,,0.440,0.6078,low_agreement
MS3816983,,0.430,0.2203,low_agreement
MS1923315,,0.550,0.5413,low_agreement
MS6111131,,0.573,0.2435,low_agreement
MS6102457,브라운,0.890,0.1703,garment_vote
MS7037407,,0.512,0.3211,low_agreement
MS7049343,,0.685,0.3514,low_agreement
MS6978389,,0.552,0.3542,low_agreement
MS1312128,블랙,0.840,0.2475,garment_vote
MS5945210,,0.635,0.3103,low_agreement
MS6544339,블랙,0.950,0.2747,garment_vote
MS7130232,블랙,0.980,0.3464,garment_vote
MS7124761,,0.755,0.2962,low_agreement
MS7124760,블랙,0.910,0.2978,garment_vote
MS7124759,블랙,0.958,0.2959,garment_vote
MS6722054,블랙,0.938,0.3028,garment_vote
MS7008354,,0.698,0.1955,low_agreement
MS7008353,블랙,0.973,0.2146,garment_vote
MS7125054,블랙,0.988,0.2198,garment_vote
MS7125041,,0.770,0.1921,low_agreement
MS6928699,,0.782,0.3420,low_agreement
MS6145321,,0.000,0.0002,garment_too_small
MS5504965,블루,0.932,0.0271,garment_vote
MS5155126,,0.233,0.4370,low_agreement
MS6532776,,0.782,0.2434,low_agreement
MS3920758,화이트,0.948,0.0783,garment_vote
MS4898364,화이트,0.802,0.1165,garment_vote
MS6813048,,0.578,0.4138,low_agreement
MS6940127,,0.500,0.2967,low_agreement
MS6940123,,0.335,0.2990,low_agreement
MS7131408,블랙,0.877,0.2712,garment_vote
